900283.560988	7526001.143450	
900500.891753	7519481.220810	
901913.541662	7516873.251750	
903434.856942	7514699.944200	
905282.168361	7512309.305900	
906260.156761	7510244.663740	
907238.145154	7508180.021570	
909411.452704	7505898.048650	
910280.775723	7503507.410350	
911258.764121	7500899.441290	
912671.414035	7497856.810730	
916909.363758	7495574.837810	
919625.998199	7493944.857150	
922777.294147	7491988.880360	
923863.947916	7490902.226590	
928427.893780	7486229.615360	
930601.201328	7484599.634700	
932013.851245	7482534.992530	
936903.793233	7479601.027350	
941250.408342	7478297.042830	
945053.696555	7474167.758490	
948313.657890	7472320.447080	
951247.623081	7471451.124070	
956898.222721	7470255.804920	
959397.526410	7467539.170490	
961136.172462	7462323.232380	
964939.460690	7459715.263320	
967982.091262	7456563.967390	
972763.367895	7454281.994460	
