900283.560988	7526001.14345	-5000
900500.891753	7519481.22081	-5000
901913.541662	7516873.25175	-5000
903434.856942	7514699.9442	-5000
905282.168361	7512309.3059	-5000
906260.156761	7510244.66374	-5000
907238.145154	7508180.02157	-5000
909411.452704	7505898.04865	-5000
910280.775723	7503507.41035	-5000
911258.764121	7500899.44129	-5000
912671.414035	7497856.81073	-5000
916909.363758	7495574.83781	-5000
919625.998199	7493944.85715	-5000
922777.294147	7491988.88036	-5000
923863.947916	7490902.22659	-5000
928427.89378	7486229.61536	-5000
930601.201328	7484599.6347	-5000
932013.851245	7482534.99253	-5000
936903.793233	7479601.02735	-5000
941250.408342	7478297.04283	-5000
945053.696555	7474167.75849	-5000
948313.65789	7472320.44708	-5000
951247.623081	7471451.12407	-5000
956898.222721	7470255.80492	-5000
959397.52641	7467539.17049	-5000
961136.172462	7462323.23238	-5000
964939.46069	7459715.26332	-5000
967982.091262	7456563.96739	-5000
972763.367895	7454281.99446	-5000
